"Bite","EstimatedTime_procNoise","CumulativeGrams_procNoise","BiteGrams_procNoise","r","theta"
8,9.56029029581276,15.9833330680708,2.5642181570071,"r = 0.25","t = 0.46"
9,10.0403237287545,17.8731335672723,1.8898004992015,"r = 0.25","t = 0.46"
10,10.5072894200215,19.8578265131798,1.98469294590757,"r = 0.25","t = 0.46"
11,10.9052674641867,21.6649237954207,1.80709728224084,"r = 0.25","t = 0.46"
12,11.253110453269,23.3318122972778,1.66688850185716,"r = 0.25","t = 0.46"
13,11.6156657037041,25.1554709020755,1.82365860479765,"r = 0.25","t = 0.46"
14,12.0806544698203,27.6209641174806,2.46549321540513,"r = 0.25","t = 0.46"
15,12.412263006659,29.4635872801029,1.84262316262231,"r = 0.25","t = 0.46"
16,12.7691230976017,31.5216224148866,2.05803513478369,"r = 0.25","t = 0.46"
17,13.0295564970088,33.070386305068,1.54876389018142,"r = 0.25","t = 0.46"
18,13.4101630390374,35.4004109848357,2.33002467976764,"r = 0.25","t = 0.46"
19,13.6827158603755,37.1140771779007,1.71366619306498,"r = 0.25","t = 0.46"
20,14.0385607359113,39.4026711140057,2.28859393610501,"r = 0.25","t = 0.46"
21,14.3228332256371,41.2681626493887,1.86549153538302,"r = 0.25","t = 0.46"
22,14.5972817938341,43.0964310129285,1.8282683635398,"r = 0.25","t = 0.46"
23,14.8864630140872,45.0474545747607,1.95102356183224,"r = 0.25","t = 0.46"
24,15.1229249974132,46.6582709532971,1.61081637853638,"r = 0.25","t = 0.46"
25,15.4123904289094,48.644824405227,1.98655345192991,"r = 0.25","t = 0.46"
26,15.7129956300418,50.7196946085122,2.07487020328522,"r = 0.25","t = 0.46"
27,15.9637710762375,52.455642861636,1.73594825312377,"r = 0.25","t = 0.46"
28,16.2584080364672,54.4960387170449,2.04039585540884,"r = 0.25","t = 0.46"
29,16.6071276206088,56.9047144542011,2.40867573715627,"r = 0.25","t = 0.46"
30,16.8164403807236,58.3435845369863,1.43887008278512,"r = 0.25","t = 0.46"
31,17.1182966681847,60.4047572233906,2.0611726864043,"r = 0.25","t = 0.46"
32,17.4617757683658,62.7236487622366,2.31889153884605,"r = 0.25","t = 0.46"
33,17.7209987709909,64.4503270720672,1.72667830983059,"r = 0.25","t = 0.46"
34,18.0820795990814,66.8151757565203,2.36484868445315,"r = 0.25","t = 0.46"
35,18.3323982656369,68.4231679554986,1.60799219897828,"r = 0.25","t = 0.46"
36,18.6691691698217,70.5408671676407,2.11769921214203,"r = 0.25","t = 0.46"
37,18.9429890663905,72.2206313545191,1.67976418687843,"r = 0.25","t = 0.46"
38,19.2609938318218,74.1203127733633,1.89968141884424,"r = 0.25","t = 0.46"
39,19.7073167668542,76.6873570211794,2.56704424781607,"r = 0.25","t = 0.46"
40,20.0139396179611,78.380053131207,1.6926961100276,"r = 0.25","t = 0.46"
41,20.3919730822372,80.3841081604341,2.00405502922713,"r = 0.25","t = 0.46"
42,20.7721165748383,82.3045523545021,1.92044419406795,"r = 0.25","t = 0.46"
43,21.1002443423491,83.8844655874141,1.57991323291206,"r = 0.25","t = 0.46"
44,21.6472057802358,86.356764952274,2.47229936485991,"r = 0.25","t = 0.46"
45,22.0461840646845,88.0335238862249,1.67675893395089,"r = 0.25","t = 0.46"
46,22.6261451166723,90.2838438273794,2.25031994115442,"r = 0.25","t = 0.46"
47,23.1281660618615,92.0581636913402,1.77431986396083,"r = 0.25","t = 0.46"
48,23.6447675604049,93.7231906137885,1.66502692244829,"r = 0.25","t = 0.46"
49,24.4910578813504,96.1209293914937,2.39773877770521,"r = 0.25","t = 0.46"
50,25.3208507586407,98.109775167216,1.98884577572227,"r = 0.25","t = 0.46"
51,26.2721666644833,100.003008706519,1.89323353930259,"r = 0.25","t = 0.46"
52,27.1906199706736,101.494345953552,1.49133724703334,"r = 0.25","t = 0.46"
53,29.2011836352939,103.853131173106,2.35878521955453,"r = 0.25","t = 0.46"
54,31.9161228149494,105.69210315291,1.83897197980316,"r = 0.25","t = 0.46"
55,42.0230202093088,107.46815707244,1.77605391953021,"r = 0.25","t = 0.46"
1,1.1891351469248,2.0203834359336,2.0203834359336,"r = 1.87","t = 0.46"
2,1.54926896664069,4.12495575681092,2.10457232087732,"r = 1.87","t = 0.46"
3,1.70523325101758,5.53385900145973,1.40890324464881,"r = 1.87","t = 0.46"
4,1.8953757539683,7.83030506166155,2.29644606020183,"r = 1.87","t = 0.46"
5,2.0256138009729,9.85981577975083,2.02951071808927,"r = 1.87","t = 0.46"
6,2.14068170632528,12.0215994163531,2.16178363660232,"r = 1.87","t = 0.46"
7,2.2161435864328,13.6496315636496,1.62803214729645,"r = 1.87","t = 0.46"
8,2.30253846373132,15.7358452187104,2.08621365506083,"r = 1.87","t = 0.46"
9,2.37502041058983,17.6800322381114,1.94418701940098,"r = 1.87","t = 0.46"
10,2.44218912667877,19.6466122251537,1.96657998704233,"r = 1.87","t = 0.46"
11,2.4935947295876,21.2615739707612,1.61496174560741,"r = 1.87","t = 0.46"
12,2.55577151971737,23.3439029428593,2.08232897209816,"r = 1.87","t = 0.46"
13,2.61771807420565,25.5590700863148,2.21516714345545,"r = 1.87","t = 0.46"
14,2.65729491143205,27.047021467576,1.48795138126121,"r = 1.87","t = 0.46"
15,2.7188341760542,29.4707411694535,2.42371970187754,"r = 1.87","t = 0.46"
16,2.76509669567973,31.3781249296755,1.90738376022198,"r = 1.87","t = 0.46"
17,2.80960982168674,33.2793001010533,1.90117517137781,"r = 1.87","t = 0.46"
18,2.86109212660767,35.5540538072932,2.27475370623984,"r = 1.87","t = 0.46"
19,2.89599875730171,37.1395987660771,1.58554495878399,"r = 1.87","t = 0.46"
20,2.94414959148185,39.3790644203076,2.23946565423042,"r = 1.87","t = 0.46"
21,2.98045886307848,41.1041401076161,1.72507568730855,"r = 1.87","t = 0.46"
22,3.01734001090421,42.8846868697479,1.78054676213183,"r = 1.87","t = 0.46"
23,3.05539380489764,44.7478743505298,1.8631874807819,"r = 1.87","t = 0.46"
24,3.10381492484071,47.1501740404586,2.40229968992875,"r = 1.87","t = 0.46"
25,3.13600137046148,48.7623481041269,1.61217406366833,"r = 1.87","t = 0.46"
26,3.18302350805331,51.1328582312976,2.37051012717069,"r = 1.87","t = 0.46"
27,3.21463952836946,52.7328541623667,1.59999593106912,"r = 1.87","t = 0.46"
28,3.25356194021342,54.7046146332141,1.97176047084734,"r = 1.87","t = 0.46"
29,3.28840232311931,56.4674338376271,1.76281920441308,"r = 1.87","t = 0.46"
30,3.32635670596693,58.3809279534238,1.91349411579662,"r = 1.87","t = 0.46"
31,3.36734189806226,60.433790972252,2.0528630188282,"r = 1.87","t = 0.46"
32,3.40781902941166,62.4419219252554,2.00813095300339,"r = 1.87","t = 0.46"
33,3.44405571350635,64.2189407860003,1.77701886074499,"r = 1.87","t = 0.46"
34,3.49718604320485,66.7809979264501,2.56205714044974,"r = 1.87","t = 0.46"
35,3.53258211508456,68.4544784762575,1.67348054980741,"r = 1.87","t = 0.46"
36,3.57101840424003,70.2374188818356,1.7829404055781,"r = 1.87","t = 0.46"
37,3.6122107726064,72.1047572033228,1.86733832148717,"r = 1.87","t = 0.46"
38,3.65761653427438,74.1065524074544,2.0017952041316,"r = 1.87","t = 0.46"
39,3.71687157285658,76.6226882336944,2.51613582624005,"r = 1.87","t = 0.46"
40,3.76500463102492,78.5812857983812,1.95859756468677,"r = 1.87","t = 0.46"
41,3.81332220315066,80.4668973925317,1.88561159415052,"r = 1.87","t = 0.46"
42,3.86568170421059,82.4164127942795,1.94951540174776,"r = 1.87","t = 0.46"
43,3.92513307922193,84.5093302321204,2.09291743784094,"r = 1.87","t = 0.46"
44,3.96523136310115,85.8479087472744,1.33857851515404,"r = 1.87","t = 0.46"
45,4.03518529872991,88.0426314836114,2.19472273633697,"r = 1.87","t = 0.46"
46,4.11701640169813,90.3868070676843,2.34417558407291,"r = 1.87","t = 0.46"
47,4.18022873845016,92.0378121539207,1.6510050862364,"r = 1.87","t = 0.46"
48,4.26100102177259,93.9538032019314,1.91599104801074,"r = 1.87","t = 0.46"
49,4.34581093600153,95.7451240732965,1.791320871365,"r = 1.87","t = 0.46"
50,4.46821006817027,97.9663008318342,2.22117675853775,"r = 1.87","t = 0.46"
51,4.58192508946322,99.6867470772239,1.72044624538974,"r = 1.87","t = 0.46"
52,4.7205359542065,101.400734863685,1.71398778646133,"r = 1.87","t = 0.46"
53,4.96823850357456,103.629308395798,2.22857353211263,"r = 1.87","t = 0.46"
54,5.26277777381663,105.288661198207,1.65935280240954,"r = 1.87","t = 0.46"
55,6.6143356314629,107.432261991864,2.14360079365663,"r = 1.87","t = 0.46"
1,0.268206664639263,2.05567307307266,2.05567307307266,"r = 0","t = 7.74"
2,0.490003269835438,3.7259408853645,1.67026781229184,"r = 0","t = 7.74"
3,0.816419125471414,6.13611150648089,2.41017062111639,"r = 0","t = 7.74"
4,1.09619364667305,8.15734609704922,2.02123459056832,"r = 0","t = 7.74"
5,1.35208459988675,9.97076512529853,1.81341902824932,"r = 0","t = 7.74"
6,1.65391882936325,12.0673166759986,2.09655155070007,"r = 0","t = 7.74"
7,1.84741765402834,13.3876269665557,1.32031029055708,"r = 0","t = 7.74"
8,2.22449693209829,15.908383347513,2.52075638095729,"r = 0","t = 7.74"
9,2.44514146073053,17.3519920364754,1.4436086889624,"r = 0","t = 7.74"
10,2.84318791091697,19.899055836906,2.5470638004306,"r = 0","t = 7.74"
11,3.08469139931838,21.4092538063936,1.51019796948761,"r = 0","t = 7.74"
12,3.47655953993793,23.8046071409292,2.39535333453559,"r = 0","t = 7.74"
13,3.78414956292908,25.6380808865591,1.83347374562987,"r = 0","t = 7.74"
14,4.09170693969851,27.4312588880697,1.79317800151066,"r = 0","t = 7.74"
15,4.42798543068117,29.347035754417,1.91577686634727,"r = 0","t = 7.74"
16,4.82722207914545,31.562148808818,2.21511305440099,"r = 0","t = 7.74"
17,5.15865234382205,33.3533486989405,1.7911998901225,"r = 0","t = 7.74"
18,5.56794982762785,35.5072723132252,2.15392361428469,"r = 0","t = 7.74"
19,5.88808775115831,37.1483627743142,1.64109046108902,"r = 0","t = 7.74"
20,6.3062183218329,39.235670225103,2.08730745078878,"r = 0","t = 7.74"
21,6.684135533933,41.0689904205438,1.83332019544088,"r = 0","t = 7.74"
22,7.12950479661907,43.1665384446476,2.09754802410372,"r = 0","t = 7.74"
23,7.60454177676466,45.3310006143253,2.1644621696777,"r = 0","t = 7.74"
24,8.00892089665833,47.1161471900059,1.78514657568068,"r = 0","t = 7.74"
25,8.39741394054518,48.7829604852648,1.66681329525888,"r = 0","t = 7.74"
26,8.81701807904069,50.5317108684749,1.74875038321012,"r = 0","t = 7.74"
27,9.38676277506081,52.8232859995641,2.29157513108917,"r = 0","t = 7.74"
28,9.96302798136861,55.047530785207,2.22424478564292,"r = 0","t = 7.74"
29,10.4248063722978,56.7645461386844,1.71701535347731,"r = 0","t = 7.74"
30,10.9784814426658,58.7494913107826,1.98494517209821,"r = 0","t = 7.74"
31,11.5090789509201,60.5789646267803,1.82947331599774,"r = 0","t = 7.74"
32,12.1905924717839,62.8286718627711,2.24970723599076,"r = 0","t = 7.74"
33,12.8348960539432,64.8565205232315,2.02784866046042,"r = 0","t = 7.74"
34,13.4814479630171,66.7991619787614,1.94264145552994,"r = 0","t = 7.74"
35,14.083210026539,68.5278518158155,1.72868983705409,"r = 0","t = 7.74"
36,14.8427275582072,70.6056077076347,2.07775589181924,"r = 0","t = 7.74"
37,15.5684668190269,72.487701057692,1.88209335005723,"r = 0","t = 7.74"
38,16.4080435922317,74.5459412947685,2.0582402370765,"r = 0","t = 7.74"
39,17.2142133412686,76.4087126818489,1.86277138708041,"r = 0","t = 7.74"
40,17.9990851490011,78.1214287206336,1.71271603878471,"r = 0","t = 7.74"
41,19.2101488185024,80.5816135746686,2.46018485403499,"r = 0","t = 7.74"
42,20.205005210749,82.4483039463652,1.86669037169659,"r = 0","t = 7.74"
43,20.9962529072802,83.8405028111257,1.39219886476056,"r = 0","t = 7.74"
44,22.4206854328942,86.1555790596958,2.31507624857008,"r = 0","t = 7.74"
45,23.7883161112865,88.1659715568765,2.01039249718072,"r = 0","t = 7.74"
46,25.2873746135758,90.1539150875262,1.98794353064962,"r = 0","t = 7.74"
47,27.0638423267587,92.2484239679297,2.09450888040357,"r = 0","t = 7.74"
48,29.0143723437314,94.2600310122212,2.01160704429144,"r = 0","t = 7.74"
49,31.1928466247347,96.1971611719184,1.93713015969723,"r = 0","t = 7.74"
50,33.2827421630484,97.7910105992727,1.59384942735427,"r = 0","t = 7.74"
51,36.5145642144047,99.829191100807,2.03818050153436,"r = 0","t = 7.74"
52,41.2371107992656,102.072433484796,2.24324238398924,"r = 0","t = 7.74"
53,45.0026005978013,103.388344200414,1.31591071561793,"r = 0","t = 7.74"
54,54.738509211579,105.518795048177,2.13045084776239,"r = 0","t = 7.74"
55,86.4358432968742,107.404922550358,1.8861275021813,"r = 0","t = 7.74"
1,0.294793793265635,2.27863374936276,2.27863374936276,"r = 0.06","t = 7.74"
2,0.458360059794587,3.54021702085385,1.26158327149109,"r = 0.06","t = 7.74"
3,0.737953831212591,5.69114955423976,2.15093253338591,"r = 0.06","t = 7.74"
4,1.06432733358669,8.19129893833297,2.50014938409322,"r = 0.06","t = 7.74"
5,1.29229507512278,9.92959723410535,1.73829829577238,"r = 0.06","t = 7.74"
6,1.54735766351946,11.865550844327,1.9359536102216,"r = 0.06","t = 7.74"
7,1.78663699661007,13.6721723279088,1.80662148358182,"r = 0.06","t = 7.74"
8,2.01845566043058,15.412801753776,1.74062942586721,"r = 0.06","t = 7.74"
